media_duration,len,sum
0,179,109
1,30,23
2,8,0
3,41,6
4,40,0
5,109,3
6,83,1
7,101,2
8,114,1
9,156,2
10,125,2
11,77,3
12,120,4
13,553,10
14,135,3
15,204,1
16,135,1
17,210,1
18,211,5
19,165,6
20,224,6
21,296,9
22,326,8
23,349,15
24,156,8
25,466,18
26,174,6
27,174,5
28,285,4
29,299,37
30,412,204
31,259,154
32,337,211
33,364,236
34,356,244
35,424,262
36,448,322
37,434,269
38,416,288
39,276,179
40,463,349
41,602,468
42,521,430
43,582,461
44,481,335
45,463,335
46,555,395
47,289,199
48,660,497
49,409,259
50,869,623
51,620,435
52,669,517
53,693,486
54,763,569
55,513,390
56,578,395
57,737,502
58,593,455
59,658,495
60,963,732
61,777,557
62,484,352
63,681,495
64,1201,824
65,714,520
66,842,614
67,888,627
68,694,503
69,443,323
70,451,331
71,553,365
72,763,535
73,677,446
74,782,603
75,1155,893
76,806,607
77,969,769
78,1443,1109
79,816,595
80,1239,969
81,976,763
82,900,690
83,778,552
84,672,479
85,929,667
86,701,469
87,962,637
88,904,650
89,1514,1116
90,1644,1225
91,1298,950
92,1399,1042
93,1457,1104
94,1332,943
95,1796,1311
96,1132,854
97,1280,940
98,1356,999
99,1757,1228
100,1158,842
101,1038,733
102,1422,1062
103,1577,1146
104,1886,1341
105,1889,1331
106,1973,1477
107,1313,927
108,1328,993
109,1238,850
110,2305,1681
111,2157,1605
112,1399,989
113,1513,1144
114,1877,1340
115,1897,1469
116,2011,1504
117,2337,1770
118,2646,1980
119,1601,1203
120,2406,1788
121,3052,2227
122,3623,2698
123,3538,2593
124,3453,2522
125,5945,4274
126,2480,1865
127,3701,2718
128,3484,2659
129,4007,2807
130,3305,2422
131,3095,2261
132,6757,4646
133,6981,4865
134,9888,7096
135,3283,2385
136,4698,3408
137,10935,7837
138,6143,4341
139,4716,3438
140,8576,5874
141,6262,4486
142,6173,4391
143,5766,4115
144,8083,5829
145,7691,5632
146,6926,5037
147,10339,7104
148,10934,7412
149,8475,6128
150,8765,6237
151,10427,7159
152,7883,5796
153,8473,6159
154,13883,9462
155,15211,10888
156,16314,12568
157,14431,10076
158,16203,11270
159,20302,14476
160,24284,16818
161,28968,19264
162,25416,17540
163,22144,15846
164,14011,10175
165,18871,13443
166,30205,20760
167,21012,14773
168,19044,13319
169,17207,12390
170,26650,18071
171,21591,15269
172,26454,18393
173,43738,29546
174,29408,20700
175,40056,28305
176,46885,34348
177,51686,36368
178,30126,21105
179,34365,24304
180,38552,27203
181,33957,23050
182,52505,36455
183,60466,41330
184,46642,31919
185,55261,36683
186,63321,43254
187,47686,33217
188,47570,32708
189,51751,35897
190,80781,55200
191,51353,34819
192,48820,33464
193,48897,33613
194,78656,55242
195,85688,58467
196,64996,43730
197,70315,48738
198,62109,43310
199,62404,42035
200,55751,37380
201,64233,44770
202,56960,39148
203,67783,45273
204,79983,53428
205,87747,59238
206,79535,53996
207,75708,50068
208,61318,41207
209,71599,46929
210,77144,53366
211,72886,49492
212,76471,51677
213,89755,59360
214,85392,56988
215,82154,55195
216,88211,60813
217,75249,50406
218,70973,50008
219,87718,58956
220,63546,43628
221,45860,30984
222,61443,41144
223,61230,41490
224,82832,54829
225,73296,50183
226,73588,48637
227,68519,45449
228,72893,49669
229,52811,35178
230,84749,57128
231,56043,37290
232,57114,37928
233,74400,50545
234,67786,46244
235,68775,46205
236,69017,45623
237,66952,46217
238,55687,38449
239,50826,34670
240,65417,44284
241,46206,31464
242,50832,33421
243,46411,31799
244,71672,48616
245,44022,29891
246,40849,26684
247,59966,39231
248,45225,31108
249,46292,31406
250,45840,30726
251,53238,36253
252,59106,40902
253,41903,27150
254,40160,27695
255,44466,29228
256,34630,24400
257,29195,19871
258,52654,35802
259,29201,20672
260,40822,26679
261,34246,23165
262,36838,24609
263,44485,29212
264,36920,25790
265,32939,22746
266,25500,17968
267,28503,18858
268,54143,36602
269,36324,24776
270,25238,17676
271,35533,24646
272,22790,15920
273,25528,18054
274,19540,13553
275,21414,14337
276,25745,17647
277,25181,17616
278,28408,19867
279,15313,10440
280,20000,13916
281,22005,15659
282,21217,14501
283,17284,12113
284,21930,14855
285,43173,29808
286,24553,17568
287,16682,10830
288,17043,11637
289,23679,15920
290,15773,10724
291,19924,13865
292,18331,12410
293,15548,10567
294,20152,12844
295,17763,12111
296,16599,11601
297,10750,7498
298,12295,8410
299,12492,8432
300,10374,7408
301,10974,7376
302,13842,9331
303,9953,6941
304,10083,7034
305,11454,8122
306,10328,7273
307,11699,8590
308,9153,6169
309,8041,5572
310,8294,5946
311,10594,7639
312,13643,8747
313,12165,8367
314,6204,4468
315,9767,7011
316,9235,6800
317,7022,4769
318,6394,4554
319,8921,6562
320,8056,5548
321,6357,4544
322,10104,6634
323,8865,5861
324,7810,5683
325,7723,5530
326,9023,6047
327,7071,4672
328,4840,3432
329,7720,5458
330,5730,4222
331,5409,3787
332,3351,2408
333,4080,2857
334,9447,6355
335,5715,3980
336,4929,3603
337,5118,3720
338,4138,2903
339,5085,3617
340,5306,3836
341,3424,2406
342,4949,3333
343,4427,3141
344,3115,2209
345,5210,3837
346,3117,2084
347,3807,2655
348,6181,4446
349,2874,2181
350,5061,3472
351,4362,3262
352,11021,8454
353,3063,2196
354,5449,3741
355,2021,1455
356,3726,2641
357,3595,2350
358,4199,2991
359,2620,1939
360,3860,2620
