media_id,is_listened
200226,49
200230,48
201354,28
204074,22
204075,11
204076,16
206607,16
206648,31
208864,119
209374,38
209376,30
209377,219
209379,14
209380,11
209382,13
209385,12
210125,41
211277,39
211357,11
211461,12
211678,721
211796,290
211798,94
211801,33
212269,17
212623,109
213473,44
213539,104
213540,19
213542,64
213643,16
213812,11
214546,25
214547,75
214548,49
214550,163
214993,331
215002,12
215007,18
215560,61
216649,33
217146,15
218750,18
218753,25
218754,74
218977,13
219080,16
220304,11
221613,65
222318,18
223263,12
224429,34
224802,24
224803,12
224804,11
224806,25
224807,12
224808,12
224953,14
225472,11
225494,74
225506,21
226376,14
226577,155
226578,23
226579,17
226580,65
226581,17
226582,28
226584,18
226587,28
226986,21
227249,14
227256,12
227469,12
228149,14
228670,1548
231820,111
231898,27
233052,15
234136,19
234161,31
235469,118
236337,85
236672,45
236675,28
236676,30
236893,37
236949,48
236956,123
237118,16
237194,85
237198,24
237337,197
237339,12
237356,24
237358,273
237386,12
237406,139
237407,16
237414,13
237415,15
238234,12
238235,13
238244,332
238286,57
238287,25
238290,15
238300,73
238313,12
238888,24
239070,33
240854,23
240866,37
241033,20
241034,63
242786,119
243446,25
243513,40
243875,21
244172,12
244183,11
244730,19
244844,11
244845,19
244866,37
246522,22
247129,11
247676,16
248836,12
249261,19
249262,95
249263,36
249264,18
249265,17
249266,19
249267,19
249268,27
249269,24
249270,15
249271,19
249272,24
249273,17
249274,30
249275,20
249276,21
249420,24
249443,18
249482,12
249484,13
249485,2351
249486,16
249489,17
249490,40
249492,91
249493,20
249495,52
249521,11
249786,12
249787,13
250290,121
252155,14
254954,38
255863,15
256178,12
259488,27
262790,17
262791,13
262801,12
262860,29
262928,12
263290,18
263314,17
263316,22
263327,27
263338,26
263418,27
263419,21
264453,29
264598,463
265015,24
265101,47
265649,40
265776,22
266039,88
266107,17
266113,13
266713,13
268525,42
269389,87
270111,15
270153,33
273992,19
274411,12
274420,12
274701,43
274702,11
274710,14
275990,11
278099,11
278863,28
278865,17
279009,11
279016,14
279024,11
279025,12
279037,29
279055,14
279563,23
280365,27
280556,388
280570,15
280578,21
280579,90
281773,12
283608,11
283752,44
285156,11
285159,17
285671,18
285835,33
286183,13
286191,13
286429,17
286430,33
286436,13
286552,16
