user_country,len,mean
AD,101,0.673267326733
AE,623,0.658105939005
AF,1775,0.498028169014
AG,19330,0.743507501293
AL,1621,0.737199259716
AM,1005,0.862686567164
AO,474,0.645569620253
AR,23260,0.641616509028
AT,6283,0.809804233646
AU,48004,0.642342304808
AW,131,0.839694656489
AZ,1740,0.723563218391
BA,3745,0.742056074766
BB,37,0.837837837838
BD,2948,0.943351424695
BE,237867,0.676327527568
BF,1477,0.663507109005
BG,15166,0.714756692602
BH,1473,0.79972844535
BJ,90,0.544444444444
BN,64,0.453125
BO,1181,0.697713801863
BR,63058,0.723968410035
BT,1,1.0
BY,412,0.844660194175
BZ,21,0.238095238095
CA,245921,0.680482756658
CD,647,0.828438948995
CF,29,0.586206896552
CG,815,0.39263803681
CH,79233,0.683048729696
CI,11063,0.624514146253
CL,9125,0.55298630137
CM,3816,0.811582809224
CN,81376,0.712286177743
CO,3033,0.575008242664
CR,1603,0.691203992514
CU,913,0.696604600219
CY,1451,0.776705720193
CZ,7934,0.594781951097
DE,102207,0.727318089759
DK,15166,0.697217460108
DM,688,0.870639534884
DO,2189,0.70717222476
DZ,61253,0.684995020652
EC,1410,0.802127659574
EE,983,0.416073245168
EG,7329,0.6392413699
EH,664,0.311746987952
ES,42427,0.721356683244
FI,7335,0.555555555556
FJ,123,0.69918699187
FR,4063629,0.685194686818
GA,2181,0.580467675378
GB,335737,0.67564492445
GE,1932,0.654761904762
GH,1114,0.740574506284
GI,60,0.816666666667
GP,5190,0.751445086705
GR,3628,0.621003307607
GT,732,0.650273224044
GW,858,0.122377622378
HK,1226,0.601141924959
HN,28,0.0714285714286
HR,831,0.902527075812
HT,1270,0.833070866142
HU,20451,0.65346437827
ID,5772,0.711538461538
IE,50247,0.663920234044
IL,14783,0.743556788203
IN,57360,0.651987447699
IQ,2752,0.672238372093
IR,2740,0.660948905109
IS,907,0.502756339581
IT,41069,0.606661959142
JM,1914,0.870428422153
JO,300,0.52
JP,4861,0.708290475211
KE,1391,0.870596693027
KH,399,0.872180451128
KM,104,0.451923076923
KR,19126,0.645195022482
KW,1891,0.913802221047
KZ,1882,0.673219978746
LB,1695,0.670206489676
LK,9,0.777777777778
LT,3891,0.755589822668
LU,7087,0.777762099619
LV,8604,0.691887494189
LY,192,0.770833333333
MA,354103,0.676613866587
MC,517,0.588007736944
MD,858,0.701631701632
MG,3527,0.638219449957
MK,1708,0.894028103044
ML,342,0.77485380117
MQ,7430,0.705383580081
MR,2248,0.457740213523
MT,433,0.593533487298
MU,8903,0.674491744356
MV,203,0.532019704433
MW,419,0.718377088305
MX,22421,0.672048525936
MY,22293,0.71376665321
NA,30914,0.840557676134
NE,725,0.744827586207
NG,782,0.739130434783
NI,3106,0.651320025757
NL,39608,0.691249242577
NO,6815,0.680264123258
NP,1156,0.705017301038
NZ,16342,0.659038061437
OM,56,0.517857142857
PA,3237,0.761198640717
PE,9176,0.654751525719
PG,64,0.765625
PH,22876,0.686614792796
PK,4568,0.69527145359
PL,14573,0.684828106773
PT,35429,0.723503344718
PY,1105,0.452488687783
QA,339,0.306784660767
RE,7907,0.716959656001
RO,11467,0.565884712654
RS,1205,0.551037344398
RU,18239,0.70343768847
RW,368,0.125
SA,15128,0.728120042306
SD,2207,0.778432260988
SE,25681,0.724154043846
SG,19345,0.650865856811
SI,17801,0.634402561654
SK,74926,0.728572191229
SN,33317,0.657772308431
SO,639,0.760563380282
SV,1068,0.719101123596
SX,84,0.5
SY,373,0.911528150134
SZ,1886,0.900318133616
TH,11426,0.752756870296
TN,18111,0.68577107835
TO,100,0.85
TR,33884,0.667158540904
TT,307,0.436482084691
TV,422,0.473933649289
TW,26557,0.651654930903
UA,10841,0.637395074255
UG,352,0.786931818182
US,743398,0.673214079134
UY,1124,0.711743772242
UZ,183,0.688524590164
VA,109,0.706422018349
VE,7668,0.73721961398
VN,11132,0.802730865972
VU,1105,0.58371040724
WF,101,0.386138613861
YE,109,0.174311926606
ZA,10965,0.734154126767
ZM,108,0.824074074074
ZW,992,0.721774193548
